Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
,,,,Y,Y,Y,NONE
N5kC5020pBf.ac1-agg-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac1-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,34,,,,
N5kC5020pBf.ac15-stor-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac15-stor-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac16-stor-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac16-stor-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N5kC5020pBf.ac2-agg-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac2-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac3-agg-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5596Up.ac3-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N5kC5596Up.ac4-agg-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N5kC5596Up.ac4-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.ac1-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac1-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,27,,,,
N7Kc7010.ac2-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac2-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N7Kc7010.ac3-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac3-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.ac4-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac4-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.ac5-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac5-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,11,,,,
N7Kc7010.ac6-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac6-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,18,,,,
N7Kc7010.ac7-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac7-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,12,,,,
N7Kc7010.ac8-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.ac8-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.di1-m-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di1-m-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,67,,,,
N7Kc7010.di1-n-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di1-n-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,47,,,,
N7Kc7010.di1-p-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di1-p-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,15,,,,
N7Kc7010.di1-s-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di1-s-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,24,,,,
N7Kc7010.di2-m-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di2-m-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,16,,,,
N7Kc7010.di2-n-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di2-n-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,56,,,,
N7Kc7010.di2-p-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7010.di2-p-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,33,,,,
